Unnamed: 0,Unnamed: 0.1,article,date,label
555,555,Hotel pays Bitcoin ransom after guests are locked out of rooms,1485583200,0
557,557,"Switzerland Grants Bitcoin License to Xapo, Legal to Operate",1485496800,1
559,559,Might the Blockchain Outlive Bitcoin?,1485496800,0
561,561,BitFury Secures $30 Million Investment to Provide Blockchain ...,1485496800,1
562,562,Congratulations To Venezuela - Bitcoin Miners Arrested For Stealing ...,1485496800,-1
563,563,Bitfinex Hacker Allegedly Moves 153 Bitcoin Worth of Stolen Funds,1485496800,0
564,564,How Bitcoin Unlimited Users May End Up on Different Blockchains,1485496800,-1
569,569,Four Venezuelan Bitcoin Miners Arrested by the Federal Police,1485496800,-1
570,570,Bitfinex's Hacked Bitcoins Are on the Move,1485496800,-1
571,571,Top European Hotel Pays 1500 EUR In Bitcoin After Ransomware ...,1485669600,-1
572,572,Bitcoin wallets get a key approval in Switzerland,1485669600,1
573,573,Bitcoin is 'a great hedge against the system' and could be the new gold,1485583200,1
574,574,Rethinking Proof of Work: The Quest to 'Improve' Bitcoin Heats Up,1485669600,-1
575,575,Review: Putting Ledger's New Bitcoin Hardware to the Test,1485669600,-1
576,576,Chinese New Year 2017 Is An Excellent Time To Spread Bitcoin ...,1485669600,1
577,577,Top 5 Altcoin Exchanges,1485669600,-1
578,578,"Hackers Hijack Hotel's Smart Locks, Demand Ransom",1485669600,-1
579,579,Bitcoin Price May Get Boost As New Unicode Good For Mainstream ...,1485583200,1
580,580,"Western Union Shares Drop, Bitcoin Interest Surges in Mexico",1485583200,1
581,581,Austrian Luxury Hotel Pays Bitcoin Ransom to Regain Access to ...,1485583200,-1
583,583,Users Outrage Over Xapo Bitcoin Platform's Impractical KYC ...,1485669600,-1
584,584,Is BTCC Still Using Trading Bots To Manipulate Bitcoin Volumes?,1485669600,0
585,585,BitGo Enhances Its Security With Ledger's Hardware Based Key ...,1485583200,-1
586,586,Hackers Demand Bitcoin Ransom After Hijacking Hotel's Key System,1485756000,-1
587,587,China Launches Research Institute to Study Bitcoin and Test ...,1485756000,1
590,590,Former Fed Employee Fined $5000 for Using Computer for Bitcoin,1485756000,-1
591,591,Is Buying Bitcoin A Good Way to Hedge Against Inflation?,1485756000,1
592,592,Bitcoin Price Finds Stability As Market Factors In China Crackdown,1485756000,1
593,593,The biggest bitcoin news site bought the best bitcoin data app,1485756000,-1
595,595,Bitcoin Payments Startup BitPesa Raises $2.5 Million,1485669600,1
596,596,Hackers hold hotel's keys hostage for bitcoin ransom,1485669600,-1
599,599,Don't believe the story about hackers locking guests in their rooms at ...,1485756000,-1
600,600,Hackers Use New Tactic at Austrian Hotel: Locking the Doors,1485756000,-1
601,601,Change in China (And What It Means For Bitcoin),1485756000,-1
604,604,Former Fed Employee Fined for Installing Bitcoin Software on Fed ...,1485756000,-1
605,605,Polymerbit To Launch Polymer-based Bitcoin Cold Storage Solution,1485669600,1
606,606,"Press Release: CoinDesk Acquires Lawnmower, Accelerating ...",1485756000,1
607,607,Kenya's BitPesa closes $2.5m funding round,1485756000,1
609,609,What Is Happening To The Price Of Bitcoin? Startups and Industry ...,1485756000,-1
611,611,Former Fed Employee Fined $5000 for Mining Bitcoin on Federal ...,1485756000,-1
612,612,Trump Immigration Order Helps Bitcoin Price to Break Barrier,1485756000,1
615,615,"""Shark Tank"" Backed Blockchain Fantasy Game ""Augmentors ...",1485842400,1
616,616,Cryptocurrency Platform Byteball Schedules Second Round of ...,1485842400,-1
617,617,Real Estate Buyer Makes $1.3 Million Buying Home With Bitcoin,1485756000,1
620,620,New Hacker Trick: Locking All Hotel Guests Out Of Rooms ...,1485842400,-1
622,622,Bitcoin hotel hack victim speaks out,1485842400,-1
623,623,Bitcoin Price Breaks Sleepy Spell to Jump Above $950,1485756000,1
624,624,Bitcoin Price Rises amid Political Tensions and Growing Interest,1485756000,1
625,625,China's Central Bank Completes Digital Currency Trial on a ...,1485756000,-1
626,626,Federal Reserve Employee Admits to Installing Bitcoin Miner on ...,1485756000,-1
627,627,Will Trump's New Policies Boost US–Mexico Bitcoin Remittances?,1485842400,1
